Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,EP,P_Arr,P_Dep,Hangar_Width,Hangar_Length,StartDate
a01,0,27,25,0.00,0.00,0.00,0.00,235.50,77.50,0.00,0.00,0.00,80,0,60,110,110,2015-03-23 11:30
a02,1,29,30,1.25,1.25,31.00,1.00,43.75,53.50,45.00,0.00,0.00,80,0,60,110,110,2015-03-23 11:30
a03,0,24,28,2.50,0.00,0.00,0.00,94.00,77.50,0.00,0.00,0.00,80,0,60,110,110,2015-03-23 11:30
a04,1,22,21,8.50,8.50,1.00,1.00,13.50,26.50,22.00,0.00,0.00,80,0,60,110,110,2015-03-23 11:30
a05,1,29,30,29.00,29.00,1.00,1.00,20.25,54.50,49.25,0.00,0.00,80,0,60,110,110,2015-03-23 11:30
a06,1,61,64,70.50,70.50,1.00,1.00,9.50,81.00,80.00,0.00,0.00,80,0,60,110,110,2015-03-23 11:30
a07,1,29,30,79.00,80.10,38.00,1.00,69.00,149.50,149.10,1.10,0.00,80,0,60,110,110,2015-03-23 11:30
a08,1,36,38,84.42,84.42,1.00,1.00,7.50,92.50,91.92,0.00,0.00,80,0,60,110,110,2015-03-23 11:30
a09,1,29,30,97.50,97.50,1.00,1.00,17.00,149.50,114.50,0.00,0.00,80,0,60,110,110,2015-03-23 11:30
