Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,EP,P_Arr,P_Dep,Hangar_Width,Hangar_Length,StartDate
a01,0,29,30,0.00,0.00,0.00,0.00,283.00,222.75,0.00,0.00,0.00,80,0,60,110,110,2015-04-19 10:15
a02,1,29,30,1.00,32.35,56.00,1.00,150.00,222.75,182.35,31.35,0.00,80,0,60,110,110,2015-04-19 10:15
a03,1,29,30,26.00,26.00,22.00,1.00,47.00,78.75,73.00,0.00,0.00,80,0,60,110,110,2015-04-19 10:15
a04,1,20,21,32.25,32.25,1.00,1.00,45.00,78.75,77.25,0.00,0.00,80,0,60,110,110,2015-04-19 10:15
a05,1,24,27,73.25,77.35,1.00,1.00,29.00,126.75,106.35,4.10,0.00,80,0,60,110,110,2015-04-19 10:15
a06,1,29,30,98.25,98.25,26.00,1.00,49.50,150.75,147.75,0.00,0.00,80,0,60,110,110,2015-04-19 10:15
a07,0,27,25,104.75,0.00,0.00,0.00,23.50,126.75,0.00,0.00,0.00,80,0,60,110,110,2015-04-19 10:15
a08,0,24,28,123.00,0.00,0.00,0.00,25.00,124.25,0.00,0.00,0.00,80,0,60,110,110,2015-04-19 10:15
a09,0,31,31,128.75,0.00,0.00,0.00,22.33,128.75,0.00,0.00,0.00,80,0,60,110,110,2015-04-19 10:15
